"sequence","support","pattern"
"<{M}>",0.574929443652723,1
"<{F}>",0.396261212172018,1
"<{T}>",0.384930281945958,1
"<{C}>",0.368429876770894,1
"<{A}>",0.319822840696342,1
"<{H}>",0.164570933579233,1
"<{E}>",0.151717103976304,1
"<{B}>",0.146729259228211,1
"<{K}>",0.130801687763713,1
"<{S}>",0.0944616760276078,1
"<{D}>",0.057842233213178,1
"<{I}>",0.0427669265375695,1
"<{G}>",0.0382541146226283,1
"<{U}>",0.0376533378042306,1
"<{P}>",0.0208036437812614,1
"<{N}>",0.0163606896359013,1
"<{R}>",0.00224942018051248,1
"<{M},{T}>",0.146952804090871,2
"<{M},{F}>",0.14591890910107,2
"<{M},{C}>",0.130703886886299,2
"<{M},{A}>",0.1280353200883,2
"<{F},{T}>",0.0952999692625814,2
"<{C},{T}>",0.0851985357811496,2
"<{F},{M}>",0.0832006035711292,2
"<{C},{F}>",0.0827674853997262,2
"<{T},{C}>",0.081957135272585,2
"<{F},{C}>",0.0808114678514544,2
"<{C},{M}>",0.0792326822589208,2
"<{T},{F}>",0.0775560957889737,2
"<{T},{M}>",0.0716042138206611,2
"<{A},{T}>",0.068265012434683,2
"<{C},{A}>",0.0675105485232067,2
"<{M},{H}>",0.0668958001508928,2
"<{A},{C}>",0.0657780758375947,2
"<{A},{F}>",0.0657221896219297,2
"<{F},{A}>",0.0615726381088105,2
"<{A},{M}>",0.0600916533936904,2
"<{M},{F},{T}>",0.0286556570821807,3
"<{M},{T},{C}>",0.0250929108335429,3
"<{M},{C},{T}>",0.0243663900298991,3
"<{M},{T},{F}>",0.0240869589515746,3
"<{M},{F},{C}>",0.023248665716601,3
"<{M},{C},{F}>",0.0231927795009361,3
"<{M},{A},{T}>",0.0224103724816274,3
"<{M},{A},{F}>",0.0208595299969263,3
"<{M},{A},{C}>",0.0203146393941934,3
"<{M},{C},{A}>",0.0186101098164138,3
"<{M},{F},{A}>",0.0179953614440998,3
"<{M},{T},{A}>",0.0172269259787074,3
"<{F},{M},{A}>",0.0160672870036605,3
"<{F},{T},{C}>",0.0158996283566658,3
"<{M},{F},{H}>",0.0153966524156817,3
"<{C},{M},{A}>",0.0152988515382681,3
"<{F},{M},{T}>",0.0152569368765194,3
"<{M},{T},{H}>",0.0150194204599436,3
"<{C},{F},{T}>",0.0148517618129488,3
"<{M},{C},{H}>",0.0147958755972839,3
"<{M},{F},{T},{C}>",0.00396792131220834,4
"<{M},{T},{C},{F}>",0.00371643334171627,4
"<{M},{F},{C},{T}>",0.00368849023388381,4
"<{M},{C},{F},{T}>",0.00350686003297287,4
"<{M},{A},{F},{T}>",0.00321345740073211,4
"<{M},{C},{T},{F}>",0.0031016849694023,4
"<{M},{A},{T},{C}>",0.00308771341548607,4
"<{M},{A},{C},{F}>",0.00303182719982116,4
"<{M},{T},{C},{A}>",0.00296196943024003,4
"<{M},{A},{C},{T}>",0.00287814010674267,4
"<{M},{T},{F},{C}>",0.00285019699891022,4
"<{M},{F},{C},{A}>",0.00279431078324531,4
"<{M},{A},{T},{F}>",0.00278033922932909,4
"<{M},{F},{T},{H}>",0.00276636767541286,4
"<{M},{F},{T},{B}>",0.00272445301366418,4
"<{M},{C},{T},{H}>",0.0026825383519155,4
"<{M},{T},{C},{H}>",0.00261268058233437,4
"<{M},{A},{F},{C}>",0.00257076592058569,4
"<{M},{F},{T},{K}>",0.00255679436666946,4
"<{M},{F},{T},{A}>",0.00255679436666946,4
